iter	RMSE
0	65.85278943
1	63.70687469
2	61.77617381
3	60.01924099
4	58.41652214
5	57.01500835
6	55.74358937
7	54.62347476
8	53.67160938
9	52.78007914
10	52.0016768
11	51.3173462
12	50.70137559
13	50.13626108
14	49.63409615
15	49.18659108
16	48.79375791
17	48.45402542
18	48.11326762
19	47.83927638
20	47.57791009
21	47.3183002
22	47.10799894
23	46.91906608
24	46.75664529
25	46.6099593
26	46.46098094
27	46.33833373
28	46.20520063
29	46.090481
30	46.00853155
31	45.91800688
32	45.81541672
33	45.72821178
34	45.6488861
35	45.57543797
36	45.52024277
37	45.46921164
38	45.41142967
39	45.36043256
40	45.31932473
41	45.27642913
42	45.23093712
43	45.19952597
44	45.1570258
45	45.12381423
46	45.092261
47	45.05529602
48	45.01949438
49	44.98609333
50	44.94090881
51	44.89822658
52	44.86812053
53	44.84714787
54	44.80570155
55	44.77783907
56	44.75135232
57	44.71579039
58	44.69224106
59	44.66504348
60	44.64796795
61	44.62659555
62	44.60323887
63	44.58366831
64	44.55824237
65	44.53565361
66	44.51606042
67	44.50042623
68	44.48546452
69	44.45935349
70	44.43855378
71	44.42300205
72	44.40320731
73	44.39090391
74	44.38012252
75	44.35932383
76	44.34395158
77	44.32871647
78	44.31554821
79	44.29640642
80	44.28267662
81	44.26380892
82	44.25369807
83	44.23985933
84	44.22130518
85	44.20781547
86	44.188782
87	44.17715747
88	44.15219994
89	44.13829084
90	44.12775154
91	44.11810173
92	44.10199127
93	44.08278797
94	44.07624731
95	44.0517417
96	44.03690584
97	44.0259576
98	44.0100549
99	43.99727295
100	43.98428354
101	43.96951538
102	43.9544053
103	43.94503391
104	43.92589678
105	43.90387941
106	43.89109844
107	43.87676247
108	43.86540145
109	43.85586904
110	43.84286755
111	43.8265833
112	43.8121322
113	43.79806905
114	43.78778759
115	43.77226082
116	43.75552406
117	43.73900418
118	43.73007225
119	43.71945517
120	43.70192492
121	43.68635223
122	43.6716059
123	43.6578143
124	43.64523034
125	43.63500485
126	43.61521642
127	43.59964179
128	43.59007565
129	43.57209203
130	43.55691538
131	43.54671523
132	43.5405754
133	43.5345995
134	43.52668476
135	43.52110097
136	43.50721408
137	43.49946206
138	43.48771128
139	43.47478673
140	43.46295645
141	43.45454534
142	43.4424842
143	43.42445353
144	43.41951981
145	43.40487014
146	43.39557459
147	43.37679634
148	43.3675869
149	43.35904989
150	43.34802986
151	43.33887067
152	43.32654415
153	43.31271399
154	43.30044767
155	43.28837165
156	43.27440833
157	43.26309422
158	43.24873292
159	43.23843338
160	43.2286627
161	43.21394711
162	43.20479004
163	43.1896342
164	43.18035021
165	43.16848535
166	43.15792407
167	43.14792904
168	43.13450906
169	43.12585645
170	43.11394612
171	43.10131384
172	43.08830412
173	43.07893746
174	43.06746882
175	43.05900624
176	43.04503927
177	43.03554194
178	43.02396965
179	43.01350818
180	43.00089371
181	42.98669402
182	42.97902399
183	42.96931045
184	42.96067905
185	42.94916305
186	42.94057553
187	42.9287973
188	42.92094137
189	42.90941402
190	42.89866726
191	42.88616893
192	42.8779937
193	42.86710567
194	42.85935318
195	42.85146294
196	42.83833778
197	42.82665763
198	42.81192557
199	42.80163522
200	42.79474338
201	42.78526551
202	42.78061383
203	42.76711801
204	42.75465963
205	42.74170918
206	42.73131965
207	42.71881954
208	42.70975522
209	42.69665718
210	42.68611225
211	42.67396321
212	42.66097241
213	42.65253496
214	42.64340744
215	42.63616706
216	42.62567639
217	42.61859752
218	42.60666595
219	42.59939438
220	42.59154998
221	42.58270376
222	42.57523066
223	42.56828936
224	42.55738951
225	42.55019166
226	42.54312354
227	42.53336987
228	42.52465619
229	42.51883919
230	42.51208169
231	42.50554821
232	42.49770235
233	42.48293411
234	42.47327001
235	42.46508102
236	42.45778853
237	42.44593502
238	42.43937681
239	42.43164025
240	42.42411115
241	42.41514023
242	42.40867108
243	42.40135303
244	42.39118643
245	42.38092912
246	42.37130927
247	42.36461111
248	42.35521201
249	42.34746577
250	42.34164074
251	42.33614394
252	42.3299161
253	42.32337704
254	42.31198724
255	42.30495123
256	42.29062194
257	42.2846947
258	42.27268592
259	42.2645224
260	42.25432957
261	42.24633576
262	42.23907794
263	42.23367684
264	42.22628757
265	42.22019143
266	42.21075182
267	42.20612006
268	42.19774488
269	42.19093994
270	42.18006989
271	42.17089621
272	42.16201218
273	42.15077188
274	42.14138797
275	42.13086103
276	42.12602447
277	42.11556951
278	42.11032632
279	42.10242444
280	42.0977385
281	42.08720728
282	42.0791686
283	42.06744112
284	42.06147603
285	42.05284193
286	42.04481783
287	42.03575141
288	42.02582917
289	42.01873509
290	42.0158234
291	42.00808763
292	42.0029006
293	41.99430405
294	41.988837
295	41.97918461
296	41.97006908
297	41.96156668
298	41.95205428
299	41.94454513
300	41.93491544
301	41.92553374
302	41.91659653
303	41.91125121
304	41.90081838
305	41.89401521
306	41.88339704
307	41.87703175
308	41.87175175
309	41.86565801
310	41.85721688
311	41.85071884
312	41.84685827
313	41.8420927
314	41.83613828
315	41.82745536
316	41.82201125
317	41.81272755
318	41.8032758
319	41.80001339
320	41.79088197
321	41.7803333
322	41.77379378
323	41.76621525
324	41.75911164
325	41.75186849
326	41.74329268
327	41.73566612
328	41.72755898
329	41.71945705
330	41.7114188
331	41.70255683
332	41.69527307
333	41.68872696
334	41.68373106
335	41.68015523
336	41.67524686
337	41.66971738
338	41.66029367
339	41.6525174
340	41.64798105
341	41.63635946
342	41.62946985
343	41.62123192
344	41.61629527
345	41.60710981
346	41.60219461
347	41.59477121
348	41.58781014
349	41.58083177
350	41.57370282
351	41.56319866
352	41.55655323
353	41.54732841
354	41.5396668
355	41.53283472
356	41.52810741
357	41.51938459
358	41.51146171
359	41.50313725
360	41.49584017
361	41.48865717
362	41.48288629
363	41.47794105
364	41.47243549
365	41.46621394
366	41.46034221
367	41.45393183
368	41.44427305
369	41.43743908
370	41.42789835
371	41.42178197
372	41.41653632
373	41.40970201
374	41.40513071
375	41.3988467
376	41.39064066
377	41.38466817
378	41.37846211
379	41.37174321
380	41.36478177
381	41.35634433
382	41.35041654
383	41.34475459
384	41.33615126
385	41.32698108
386	41.32163566
387	41.31468288
388	41.30989884
389	41.30419927
390	41.29917415
391	41.29599108
392	41.29044049
393	41.28739776
394	41.27919212
395	41.27185488
396	41.26403426
397	41.25695842
398	41.25122249
